uf,localidade,faixa_inicio,faixa_fim,situacao,tipo_faixa
MA,Santa Luzia,65390-000,65392-999,Não codificada por logradouros,Total do município
MA,Santa Luzia do Paruá,65272-000,65273-999,Não codificada por logradouros,Total do município
MA,Santa Quitéria do Maranhão,65540-000,65544-999,Não codificada por logradouros,Total do município
MA,Santa Rita,65145-000,65147-999,Não codificada por logradouros,Total do município
MA,Santana do Maranhão,65555-000,65559-999,Não codificada por logradouros,Total do município
MA,Santo Amaro do Maranhão,65195-000,65199-999,Não codificada por logradouros,Total do município
MA,Santo Antônio dos Lopes,65730-000,65734-999,Não codificada por logradouros,Total do município
MA,São Benedito do Rio Preto,65440-000,65449-999,Não codificada por logradouros,Total do município
MA,São Bento,65235-000,65237-999,Não codificada por logradouros,Total do município
MA,São Bernardo,65550-000,65554-999,Não codificada por logradouros,Total do município
MA,São Domingos do Azeitão,65888-000,65889-999,Não codificada por logradouros,Total do município
MA,São Domingos do Maranhão,65790-000,65794-999,Não codificada por logradouros,Total do município
MA,São Félix de Balsas,65890-000,65894-999,Não codificada por logradouros,Total do município
MA,São Francisco do Brejão,65929-000,65929-999,Não codificada por logradouros,Total do município
MA,São Francisco do Maranhão,65650-000,65659-999,Não codificada por logradouros,Total do município
MA,São João Batista,65225-000,65229-999,Não codificada por logradouros,Total do município
MA,São João do Carú,65385-000,65389-999,Não codificada por logradouros,Total do município
MA,São João do Paraíso,65973-000,65974-999,Não codificada por logradouros,Total do município
MA,São João do Soter,65615-000,65619-999,Não codificada por logradouros,Total do município
MA,São João dos Patos,65665-000,65667-999,Não codificada por logradouros,Total do município
MA,São José de Ribamar,65110-000,65129-999,Codificado por logradouros,Total do município
MA,São José de Ribamar,65110-000,65114-999,Codificada por logradouros,Exclusiva da sede urbana
MA,São José de Ribamar,65115-001,65126-999,Codificada por logradouros,Exclusiva da sede urbana
MA,São José dos Basílios,65762-000,65762-999,Não codificada por logradouros,Total do município
MA,São Luís,65000-000,65109-999,Codificado por logradouros,Total do município
MA,São Luís,65000-001,65099-999,Codificada por logradouros,Exclusiva da sede urbana
MA,São Luís Gonzaga do Maranhão,65708-000,65708-999,Não codificada por logradouros,Total do município
MA,São Mateus do Maranhão,65470-000,65479-999,Não codificada por logradouros,Total do município
MA,São Pedro da Água Branca,65920-000,65920-999,Não codificada por logradouros,Total do município
MA,São Pedro dos Crentes,65978-000,65979-999,Não codificada por logradouros,Total do município
